timestamp,pm2_5,pm10,temperature,humidity
2025-10-21 21:21:51,23.4,25.9,,
2025-10-21 21:22:08,24.0,26.5,,
2025-10-21 21:22:13,23.8,26.3,,
2025-10-21 21:22:48,23.8,26.3,,
2025-10-21 21:23:05,24.4,27.1,,
2025-10-21 21:23:11,24.4,27.1,,
2025-10-21 21:23:16,24.3,27.1,,
2025-10-21 21:23:22,24.7,27.4,,
2025-10-21 21:23:53,24.5,27.4,,
2025-10-21 21:24:16,25.5,28.3,,
2025-10-21 21:24:28,25.4,28.4,,
2025-10-21 21:24:40,24.8,27.6,,
2025-10-21 21:24:57,24.0,26.5,,
2025-10-21 21:25:02,24.1,26.6,,
2025-10-21 21:25:07,23.3,25.9,,
2025-10-21 21:25:16,23.7,26.4,,
2025-10-21 21:25:22,24.4,27.2,,
2025-10-21 21:25:28,24.6,27.4,,
2025-10-21 21:35:54,25.5,28.4,,
2025-10-21 21:35:59,25.8,28.7,,
2025-10-21 21:36:06,25.5,28.2,,
2025-10-21 21:36:13,24.7,27.4,,
2025-10-21 21:36:20,24.7,27.4,,
2025-10-21 21:36:25,24.9,27.6,,
2025-10-21 21:36:30,24.9,27.7,,
2025-10-21 21:36:35,24.9,27.8,,
2025-10-21 21:36:42,25.3,28.2,,
2025-10-21 21:36:49,26.3,29.3,,
2025-10-21 21:36:55,26.0,29.0,,
2025-10-21 21:37:01,26.2,29.1,,
2025-10-21 21:37:08,26.4,29.4,,
2025-10-21 21:37:15,26.1,29.1,,
2025-10-21 21:37:21,25.4,28.4,,
2025-10-21 21:37:28,25.0,27.9,,
2025-10-21 21:37:35,25.3,28.2,,
2025-10-21 21:37:40,25.6,28.4,,
2025-10-21 21:37:47,25.6,28.3,,
2025-10-21 21:40:10,25.5,28.3,,
2025-10-21 21:40:17,25.5,28.2,,
2025-10-21 21:40:23,25.9,28.7,,
2025-10-21 21:40:30,25.2,28.0,,
2025-10-21 21:40:36,25.8,28.7,,
2025-10-21 21:40:42,25.7,28.6,,
2025-10-21 21:40:48,26.0,29.0,,
2025-10-21 21:40:53,25.6,28.6,,
2025-10-21 21:40:58,25.9,28.9,,
2025-10-21 21:41:03,25.8,28.8,,
2025-10-21 21:41:10,25.5,28.5,,
2025-10-21 21:41:17,25.2,28.0,,
2025-10-21 21:41:22,25.6,28.4,,
2025-10-21 21:41:27,25.7,28.4,,
2025-10-21 21:41:34,25.4,28.2,,
2025-10-21 21:41:39,25.8,28.8,,
2025-10-21 21:41:44,26.0,29.0,,
2025-10-23 10:35:50,5.2,12.9,,
2025-10-23 10:35:57,5.3,10.7,,
2025-10-23 10:36:04,5.5,11.3,,
2025-10-23 10:36:11,5.5,10.6,,
2025-10-23 10:36:18,5.3,9.8,,
2025-10-23 10:36:24,5.5,10.0,,
2025-10-23 10:36:31,5.4,9.2,,
2025-10-23 10:36:37,5.2,9.3,,
2025-10-23 10:36:43,5.4,9.6,,
2025-10-23 22:11:28,7.7,13.0,,
2025-10-23 22:11:33,7.5,12.6,,
2025-10-23 22:11:38,7.5,11.5,,
2025-10-23 22:21:12,9.1,10.2,,
2025-10-23 22:21:19,8.3,9.3,,
2025-10-23 22:21:26,8.7,9.7,,
2025-10-23 22:35:49,8.7,11.1,,
2025-10-23 23:11:44,9.0,10.9,,
2025-10-23 23:11:49,8.9,11.7,,
2025-10-23 23:11:56,8.9,12.6,,
2025-10-23 23:12:01,9.5,13.5,,
2025-10-23 23:12:08,9.5,13.9,,
2025-10-23 23:12:16,9.6,14.9,,
2025-10-24 14:58:27,4.1,6.7,,
2025-10-24 14:58:34,4.1,5.5,,
2025-10-27 14:21:14,3.3,7.0,,
2025-10-27 14:21:21,3.5,6.7,,
2025-10-27 14:21:26,3.5,6.7,,
2025-10-27 14:21:31,3.8,7.9,,
2025-10-27 14:21:36,3.3,8.4,,
2025-10-28 22:48:03,18.2,24.9,,,12.9719,77.5937,100,Moderate
2025-10-28 22:48:17,18.9,26.4,,,12.9719,77.5937,100,Moderate
2025-10-28 22:48:31,19.1,28.3,,,12.9719,77.5937,100,Moderate
2025-10-28 22:49:03,15.5,24.7,,,12.9719,77.5937,100,Moderate
2025-10-28 22:49:34,17.4,27.8,,,12.9719,77.5937,100,Moderate
2025-10-28 22:49:48,18.0,35.5,,,12.9719,77.5937,100,Moderate
2025-11-16 22:13:12,85.1,96.5,,,12.9719,77.5937,200,Unhealthy
2025-11-16 22:13:18,85.7,96.2,,,12.9719,77.5937,200,Unhealthy
2025-11-16 22:13:23,84.8,95.4,,,12.9719,77.5937,200,Unhealthy
2025-11-16 22:13:28,85.2,95.7,,,12.9719,77.5937,200,Unhealthy
2025-11-16 22:13:42,83.6,93.9,,,12.9719,77.5937,200,Unhealthy
2025-11-16 22:13:47,82.5,92.8,,,12.9719,77.5937,200,Unhealthy
2025-11-16 22:14:01,84.2,99.0,,,12.9719,77.5937,200,Unhealthy
2025-11-16 22:14:15,84.3,103.7,,,12.9719,77.5937,200,Unhealthy
2025-11-16 22:14:29,84.4,99.4,,,12.9719,77.5937,200,Unhealthy
2025-11-16 22:14:43,84.1,98.0,,,12.9719,77.5937,200,Unhealthy
2025-11-16 22:14:49,84.4,96.2,,,12.9719,77.5937,200,Unhealthy
2025-11-16 22:15:03,82.3,94.1,,,12.9719,77.5937,200,Unhealthy
2025-11-16 22:15:09,83.1,93.9,,,12.9719,77.5937,200,Unhealthy
2025-11-16 22:15:14,83.8,95.9,,,12.9719,77.5937,200,Unhealthy
2025-11-16 22:15:28,82.3,98.2,,,12.9719,77.5937,200,Unhealthy
2025-11-16 22:16:33,87.5,121.8,,,12.9719,77.5937,200,Unhealthy
2025-11-16 22:17:12,76.6,90.9,,,12.9719,77.5937,200,Unhealthy
2025-11-16 22:17:18,81.4,97.1,,,12.9719,77.5937,200,Unhealthy
2025-11-16 22:17:32,82.8,99.5,,,12.9719,77.5937,200,Unhealthy
2025-11-16 22:40:09,83.3,93.7,,,12.9719,77.5937,200,Unhealthy
2025-11-16 22:40:16,83.9,94.3,,,12.9719,77.5937,200,Unhealthy
2025-12-17 22:07:55,26.4,38.7,,,12.9719,77.5937,100,Moderate
2025-12-17 22:08:01,26.5,38.5,,,12.9719,77.5937,100,Moderate
2025-12-17 22:08:06,25.8,37.4,,,12.9719,77.5937,100,Moderate
2025-12-17 22:08:11,24.9,35.1,,,12.9719,77.5937,100,Moderate
2025-12-17 22:08:16,25.3,36.0,,,12.9719,77.5937,100,Moderate
2025-12-17 22:08:21,25.7,36.9,,,12.9719,77.5937,100,Moderate
2025-12-17 22:08:26,25.3,36.6,,,12.9719,77.5937,100,Moderate
2025-12-17 22:08:31,25.1,38.5,,,12.9719,77.5937,100,Moderate
